Duração;TR 2;TR 5;TR 10;TR 20;TR 25;TR 50;TR 100;TR 200;TR 500;TR 1000;TR 10000
6 min;2.8728;4.309200000000001;7.181999999999999;26.53030799999999;27.449603999999994;30.207492000000002;29.28979199999999;31.690175999999994;34.882176;44.68799999999999;45.556223999999986
10 min;4.481663949176962;6.691589352380127;11.102067405721014;40.82418888064654;42.142117799672185;46.163430879157346;46.52084028858729;50.82655246220311;55.57190309625051;70.97774237578706;71.1836520195224
15 min;5.7586911082201855;8.582598165127276;14.213599953234901;52.169880417865855;53.804222085368366;58.82837206771549;60.19789275443933;66.01594898041728;71.99426337638519;91.84508484766245;91.52528601169269
20 min;6.664756296923823;9.924290269816488;16.42126742910356;60.2197766717136;62.07861675698799;67.81429084529961;69.90191591136761;76.79299731890472;83.64611342578239;106.65069995195581;105.95790501367605
25 min;7.3675550573971496;10.964987517507405;18.13366735895592;66.46376129851241;68.49673588504055;74.78431094687285;77.42894104302664;85.15232544262042;92.68399047263571;118.13482722344952;117.15271403121511
30 min;7.941783455967046;11.815299082563637;19.532799976617447;71.56546820893291;73.74072104268417;80.47923203385776;83.57896837721965;91.98239383711889;100.06847370591709;127.51804242383122;126.29953900584634
1 h;10.124875803713907;15.047999999999996;24.851999999999997;90.96105599999999;93.67721999999999;102.130092;106.96004399999998;117.9488386938205;128.14268403544898;163.19099999999997;161.073792
2 h;12.889374792373564;19.2251334001069;31.863616778750863;117.04566279475324;120.7607086829431;132.1438397631181;140.66936135552695;153.9358639487113;168.12236019108153;214.62195498881619;214.65726361211415
3 h;14.506503034021026;21.668599799679296;35.96514966374739;132.30417961574017;136.60353395117065;149.7007567106457;160.38804793341907;174.98692423532762;191.50897153310234;244.7071350335513;246.00158516365752
4 h;15.653873781033221;23.402266800213795;38.87523355750173;143.1302695895065;147.8441973658862;162.1575875262362;174.3786787110539;189.92288920360207;208.10203634671407;266.05290997763234;268.2407352242283
6 h;17.271002022680683;25.845733199786196;42.97676644249826;158.38878641049342;163.68702263411376;179.71450447376378;194.09736528894604;210.9739494902184;231.4886476887349;296.1380900223675;299.58505677577165
8 h;18.41837276969288;27.5794002003207;45.8868503362526;169.21487638425975;174.92768604882934;192.1713352893543;208.08799606658084;225.90991445849284;248.0817125023466;317.48386496644855;321.82420683634246
10 h;19.30834266243012;28.924136797907483;48.144086767916136;177.61224415558064;183.64662196343266;201.83360392716475;218.93997238279917;237.49514893946326;260.95229348134313;334.0409343242359;339.0742317698814
12 h;20.035501011340337;30.022866599893096;49.98838322124912;184.47339320524668;190.77051131705687;209.72825223688187;227.806682644473;246.96097474510918;271.46832384436743;347.56904501118373;353.1685283878858
18 h;21.6526292529878;32.46633299946549;54.08991610624565;199.7319100262336;206.6133365852844;227.28516918440943;247.5253692223651;268.0120350317255;294.85493518638816;377.65422505591886;384.5128499394292
24 h;22.799999999999997;34.199999999999996;56.99999999999999;210.55799999999996;217.85399999999998;239.74199999999996;261.51599999999996;282.948;311.448;398.99999999999994;406.75199999999995
