isozona,tempo_retorno,coef_1h_24h,coef_6min_24h
A,2,36.598209911789546,7.0
A,5,36.2,7.0
A,10,35.8,7.0
A,20,35.5,7.0
A,25,35.4,7.0
A,50,35.0,7.0
A,100,34.7,6.3
A,200,34.373912711957296,6.3
A,500,33.93134428846208,6.3
A,1000,33.6,6.3
A,10000,32.5,6.3
B,2,38.48033605483107,8.4
B,5,38.1,8.4
B,10,37.8,8.4
B,20,37.4,8.4
B,25,37.3,8.4
B,50,36.9,8.4
B,100,35.4,7.5
B,200,36.10406823886122,7.5
B,500,35.63126222121415,7.5
B,1000,35.4,7.5
B,10000,34.3,7.5
C,2,40.56039366967818,9.8
C,5,40.1,9.8
C,10,39.7,9.8
C,20,39.3,9.8
C,25,39.2,9.8
C,50,38.8,9.8
C,100,38.4,8.8
C,200,38.07820693943061,8.8
C,500,37.58432623495044,8.8
C,1000,37.2,8.8
C,10000,36.0,8.8
D,2,42.41290610708083,11.2
D,5,42.0,11.2
D,10,41.6,11.2
D,20,41.2,11.2
D,25,41.1,11.2
D,50,40.7,11.2
D,100,39.0,10.0
D,200,39.78795910106762,10.0
D,500,39.26567338389936,10.0
D,1000,39.0,10.0
D,10000,37.8,10.0
E,2,44.40735001628907,12.6
E,5,44.0,12.6
E,10,43.6,12.6
E,20,43.2,12.6
E,25,43.0,12.6
E,50,42.6,12.6
E,100,40.9,11.2
E,200,41.68569443637011,11.2
E,500,41.14416661383248,11.2
E,1000,40.9,11.2
E,10000,39.6,11.2
F,2,46.40970357060835,13.9
F,5,46.0,13.9
F,10,45.5,13.9
F,20,45.1,13.9
F,25,44.9,13.9
F,50,44.5,13.9
F,100,42.7,12.4
F,200,43.51765669380783,12.4
F,500,42.94222611419086,12.4
F,1000,42.7,12.4
F,10000,41.3,12.4
G,2,48.33992006853883,15.4
G,5,47.9,15.4
G,10,47.4,15.4
G,20,47.0,15.4
G,25,46.8,15.4
G,50,46.4,15.4
G,100,44.5,13.7
G,200,45.36958529857652,13.7
G,500,44.778577776517686,13.7
G,1000,44.5,13.7
G,10000,43.1,13.7
H,2,50.361887328497,16.7
H,5,49.9,16.7
H,10,49.4,16.7
H,20,48.9,16.7
H,25,48.8,16.7
H,50,48.3,16.7
H,100,46.3,14.9
H,200,47.21195092128114,14.9
H,500,46.58520806067922,14.9
H,1000,46.3,14.9
H,10000,44.8,14.9
