Duração;TR 2;TR 5;TR 10;TR 20;TR 25;TR 50;TR 100;TR 200;TR 500;TR 1000;TR 10000
6 min;9.527953058400001;12.346982701199998;14.213426177999999;16.003762639200005;16.571681204399994;18.321170599200002;18.0110334624;19.5647133792;21.614498769600004;23.163678331200003;28.3072322016
10 min;16.162670129450213;20.816026478344778;23.83399777780359;26.6912355529319;27.600901467111036;30.348857831778943;31.451200222261484;34.00554749243777;37.299174711738054;39.74809416187031;47.717906596767605
15 min;21.428941336927494;27.538284702896682;31.4702750557885;35.17436004543879;36.355286090967525;39.8957702753937;42.119260739866654;45.46788237244824;49.74880239414629;52.91188557099888;63.1250256329388
20 min;25.16542022195168;32.307802816596435;36.88830000840934;41.1932326588125;42.56662083042727;46.66941245168208;49.68837013392816;53.60053839506729;58.581953807936564;62.251744212770866;74.05655055629819
25 min;28.063658407977705;36.007328480041465;41.090846655592095;45.861832959170684;47.384506353678574;51.92345750797264;55.559427499728145;59.908716485686014;65.43347833628434;69.49630140166919;82.53570002810642
30 min;30.431691429428962;39.03006104114834;44.52457728639425;49.67635715131939;51.32100545428376;56.21632489529684;60.35643065153333;65.06287327507776;71.0315814903448;75.41553562189944;89.46366959246939
1 h;39.43444152193043;50.521837379400004;57.578879517;64.17835425719998;66.28672481759999;72.53687951519998;78.5936005632;84.65786417770728;92.31436058654332;97.9191856728;115.802313552
2 h;52.03859461347262;66.98168454472139;76.65342624867867;85.79801769549613;88.71047702194821;97.49102927472455;106.09158647191128;114.68393837147423;125.75082677123811;133.9727917167316;160.70361418763642
3 h;59.41155152537343;76.61007790403583;87.81132080496398;98.44471008511158;101.8275311869553;112.08827112142629;122.17687707386614;132.2480658186991;145.30990564591556;155.0627992682052;186.96919129309074
4 h;64.64274770501481;83.44153171004278;95.72797298035734;107.41768113379226;111.13422922629644;122.44517903424912;133.58957238062254;144.7100125652412;159.18729295593292;170.02639776066317;205.60491482327285
6 h;72.01570461691563;93.06992506935723;106.88586753664265;120.06437352340771;124.2512833913035;137.04242088095083;149.67486298257742;162.27414001246606;178.74637183061037;191.1164053121368;231.87049192872718
8 h;77.24690079655699;99.90137887536417;114.802519712036;129.0373445720884;133.55798143064465;147.3993287937737;161.08755828933383;174.73608675900812;192.62375914062773;206.08000380459475;250.50621545890925
10 h;81.30453178898584;105.20026611543324;120.94315220220528;135.99732163488505;140.77681725801676;155.43277068539138;169.9399325061648;184.4023236211541;203.38789699923223;217.6866725121372;264.9612056305044
12 h;84.6198577084578;109.5297722346786;125.96041426832133;141.68403696170384;146.67503559565174;161.99657064047543;177.1728488912887;192.30021420623302;212.18283801530518;227.17001135606841;276.7717925643636
18 h;91.99281462035862;119.15816559399303;137.11830882460663;154.3307293513193;159.7920897606588;176.59381248717716;193.25813949324356;209.86434165345787;231.74191688998263;248.26001890754202;303.0373696698179
24 h;97.2240108;125.98961940000001;145.03496099999998;163.3037004;169.09878779999997;186.9507204;204.67083479999997;222.32628839999995;245.6193042;263.22361739999997;321.6730932
